add-yield-none,2,10,40,165129,4128,0
add-yield-none,2,20,80,238828,2985,0
add-yield-none,2,40,160,240834,1505,0
add-yield-none,2,80,320,305862,955,24
add-yield-none,2,100,400,349739,874,7
add-yield-none,2,1000,4000,2042499,510,25
add-yield-none,2,10000,40000,18844177,471,-1813
add-yield-none,2,100000,400000,186165749,465,48
add-yield-none,4,10,80,213082,2663,0
add-yield-none,4,20,160,273515,1709,11
add-yield-none,4,40,320,261038,815,28
add-yield-none,4,80,640,312573,488,64
add-yield-none,4,100,800,395228,494,104
add-yield-none,4,1000,8000,2120185,265,22
add-yield-none,4,10000,80000,19980462,249,-985
add-yield-none,4,100000,800000,192615941,240,-237
add-yield-none,8,10,160,393990,2462,4
add-yield-none,8,20,320,334938,1046,49
add-yield-none,8,40,640,376074,587,73
add-yield-none,8,80,1280,458575,358,125
add-yield-none,8,100,1600,501013,313,145
add-yield-none,8,1000,16000,2343809,146,-9
add-yield-none,8,10000,160000,20592228,128,-648
add-yield-none,8,100000,1600000,203712317,127,-4593
add-yield-none,12,10,240,491120,2046,14
add-yield-none,12,20,480,477092,993,80
add-yield-none,12,40,960,466706,486,188
add-yield-none,12,80,1920,551142,287,88
add-yield-none,12,100,2400,620930,258,61
add-yield-none,12,1000,24000,2826782,117,-99
add-yield-none,12,10000,240000,25412727,105,-804
add-yield-none,12,100000,2400000,260558874,108,-3568
add-none,2,100,400,138668,346,0
add-none,2,1000,4000,189458,47,0
add-none,2,10000,40000,627533,15,1069
add-none,2,100000,400000,7129604,17,-4829
add-none,8,100,1600,377762,236,0
add-none,8,1000,16000,325172,20,0
add-none,8,10000,160000,5196351,32,1848
add-none,8,100000,1600000,58965712,36,-22445
add-none,1,100,200,138446,692,0
add-none,1,1000,2000,170708,85,0
add-none,1,10000,20000,273160,13,0
add-none,1,100000,200000,1361862,6,0
add-yield-m,2,10000,40000,56581303,1414,0
add-yield-c,2,10000,40000,33817863,845,0
add-yield-s,2,1000,4000,3754337,938,0
add-yield-m,4,10000,80000,126512893,1581,0
add-yield-c,4,10000,80000,76515045,956,0
add-yield-s,4,1000,8000,8882305,1110,0
add-yield-m,8,10000,160000,270619252,1691,0
add-yield-c,8,10000,160000,168632937,1053,0
add-yield-s,8,1000,16000,23490232,1468,0
add-yield-m,12,10000,240000,423304426,1763,0
add-yield-c,12,10000,240000,286811818,1195,0
add-yield-s,12,1000,24000,38816817,1617,0
add-none,1,10000,20000,333020,16,0
add-m,1,10000,20000,837883,41,0
add-c,1,10000,20000,588811,29,0
add-s,1,10000,20000,418855,20,0
add-none,2,10000,40000,820928,20,-190
add-m,2,10000,40000,3606899,90,0
add-c,2,10000,40000,2351015,58,0
add-s,2,10000,40000,3491422,87,0
add-none,4,10000,80000,1941954,24,3386
add-m,4,10000,80000,15014734,187,0
add-c,4,10000,80000,10295389,128,0
add-s,4,10000,80000,25185045,314,0
add-none,8,10000,160000,5708079,35,-94
add-m,8,10000,160000,28757052,179,0
add-c,8,10000,160000,25443018,159,0
add-s,8,10000,160000,89834878,561,0
add-none,12,10000,240000,9133559,38,927
add-m,12,10000,240000,47540133,198,0
add-c,12,10000,240000,42052922,175,0
add-s,12,10000,240000,198859170,828,0
