list-none-none,1,10,1,30,164556,5485
list-none-none,1,100,1,300,117072,390
list-none-none,1,1000,1,3000,171904,57
list-none-none,1,10000,1,30000,761854,25
list-none-none,1,20000,1,60000,1383254,23
list-none-none,2,1,1,6,180686,30114
list-none-none,2,10,1,60,165923,2765
list-none-none,8,1,1,24,359777,14990
list-none-none,8,10,1,240,358887,1495
list-none-none,12,1,1,36,456053,12668
list-none-none,12,10,1,360,512652,1424
list-i-none,2,1,1,6,157385,26230
list-d-none,2,1,1,6,165077,27512
list-il-none,2,1,1,6,172507,28751
list-dl-none,2,1,1,6,169606,28267
list-i-none,2,2,1,12,219081,18256
list-d-none,2,2,1,12,146964,12247
list-il-none,2,2,1,12,130938,10911
list-dl-none,2,2,1,12,136011,11334
list-d-none,2,4,1,24,155442,6476
list-il-none,2,4,1,24,189466,7894
list-dl-none,2,4,1,24,189673,7903
list-d-none,2,8,1,48,177236,3692
list-il-none,2,8,1,48,175164,3649
list-dl-none,2,8,1,48,216098,4502
list-i-none,2,16,1,96,187201,1950
list-d-none,2,16,1,96,174287,1815
list-il-none,2,16,1,96,184070,1917
list-dl-none,2,16,1,96,201885,2102
list-dl-none,2,32,1,192,262072,1364
list-i-none,4,1,1,12,199637,16636
list-d-none,4,1,1,12,225808,18817
list-il-none,4,1,1,12,222309,18525
list-dl-none,4,1,1,12,174767,14563
list-i-none,4,2,1,24,191985,7999
list-d-none,4,2,1,24,232007,9666
list-il-none,4,2,1,24,221579,9232
list-dl-none,4,2,1,24,211529,8813
list-i-none,4,4,1,48,188171,3920
list-d-none,4,4,1,48,176832,3684
list-i-none,4,8,1,96,226385,2358
list-d-none,4,8,1,96,187669,1954
list-d-none,4,16,1,192,259369,1350
list-i-none,8,1,1,24,358802,14950
list-il-none,8,1,1,24,333673,13903
list-i-none,8,2,1,48,346975,7228
list-d-none,8,2,1,48,330077,6876
list-dl-none,8,2,1,48,355842,7413
list-dl-none,8,4,1,96,315760,3289
list-d-none,12,1,1,36,478189,13283
list-il-none,12,1,1,36,444745,12354
list-dl-none,12,1,1,36,542477,15068
list-i-none,12,2,1,72,453215,6294
list-d-none,12,2,1,72,451909,6276
list-il-none,12,2,1,72,452739,6288
list-dl-none,12,2,1,72,451775,6274
list-d-none,12,8,1,288,416853,1447
list-i-m,12,1,1,36,523910,14553
list-i-m,12,2,1,72,440162,6113
list-i-m,12,4,1,144,468348,3252
list-i-m,12,8,1,288,418951,1454
list-i-m,12,16,1,576,726523,1261
list-i-m,12,32,1,1152,1200103,1041
list-d-m,12,1,1,36,458204,12727
list-d-m,12,2,1,72,432969,6013
list-d-m,12,4,1,144,419186,2911
list-d-m,12,8,1,288,453138,1573
list-d-m,12,16,1,576,612888,1064
list-d-m,12,32,1,1152,1070763,929
list-il-m,12,1,1,36,649080,18030
list-il-m,12,2,1,72,414828,5761
list-il-m,12,4,1,144,506277,3515
list-il-m,12,8,1,288,544572,1890
list-il-m,12,16,1,576,1191881,2069
list-il-m,12,32,1,1152,2510108,2178
list-dl-m,12,1,1,36,459784,12771
list-dl-m,12,2,1,72,395299,5490
list-dl-m,12,4,1,144,512675,3560
list-dl-m,12,8,1,288,580547,2015
list-dl-m,12,16,1,576,1111983,1930
list-dl-m,12,32,1,1152,2575969,2236
list-i-s,12,1,1,36,474829,13189
list-i-s,12,2,1,72,480210,6669
list-i-s,12,4,1,144,478450,3322
list-i-s,12,8,1,288,468271,1625
list-i-s,12,16,1,576,591314,1026
list-i-s,12,32,1,1152,1388445,1205
list-d-s,12,1,1,36,438927,12192
list-d-s,12,2,1,72,434833,6039
list-d-s,12,4,1,144,452285,3140
list-d-s,12,8,1,288,451089,1566
list-d-s,12,16,1,576,599712,1041
list-d-s,12,32,1,1152,786293,682
list-il-s,12,1,1,36,478983,13305
list-il-s,12,2,1,72,434922,6040
list-il-s,12,4,1,144,488326,3391
list-il-s,12,8,1,288,410125,1424
list-il-s,12,16,1,576,1096473,1903
list-il-s,12,32,1,1152,2347401,2037
list-dl-s,12,1,1,36,475498,13208
list-dl-s,12,2,1,72,418297,5809
list-dl-s,12,4,1,144,470545,3267
list-dl-s,12,8,1,288,456866,1586
list-dl-s,12,16,1,576,953860,1656
list-dl-s,12,32,1,1152,2588899,2247
list-none-m,1,1000,1,3000,202743,67
list-none-m,2,1000,1,6000,1123355,187
list-none-m,4,1000,1,12000,3429459,285
list-none-m,8,1000,1,24000,8873278,369
list-none-m,12,1000,1,36000,15606330,433
list-none-m,16,1000,1,48000,20953947,436
list-none-m,24,1000,1,72000,33443607,464
list-none-s,1,1000,1,3000,263882,87
list-none-s,2,1000,1,6000,733094,122
list-none-s,4,1000,1,12000,3328415,277
list-none-s,8,1000,1,24000,12207237,508
list-none-s,12,1000,1,36000,23957425,665
list-none-s,16,1000,1,48000,42799138,891
list-none-s,24,1000,1,72000,92046368,1278
